Casal2
Call: casal2 -e 
Date: Tue Aug 09 10:44:54 2022
Seed: 98694
Version: v22.08 (2022-08-08)
Copyright (c) 2017-2022, NIWA (www.niwa.co.nz)
Environment: User=marshc Machine=NIWA-1008960 OS=Windows_NT PID=29980


*estimate_value[summary]
values {dataframe}
catchability[CSacous].q catchability[WCacous].q catchability[CRsum].q catchability[SAsum].q catchability[SAaut].q observation[CRsumbio].process_error observation[SAsumbio].process_error parameter_transformation[log_sum_b0].log_total_parameter parameter_transformation[log_sum_b0].total_proportion_parameter process[recruit_E].ycs_values{1975} process[recruit_E].ycs_values{1976} process[recruit_E].ycs_values{1977} process[recruit_E].ycs_values{1978} process[recruit_E].ycs_values{1979} process[recruit_E].ycs_values{1980} process[recruit_E].ycs_values{1981} process[recruit_E].ycs_values{1982} process[recruit_E].ycs_values{1983} process[recruit_E].ycs_values{1984} process[recruit_E].ycs_values{1985} process[recruit_E].ycs_values{1986} process[recruit_E].ycs_values{1987} process[recruit_E].ycs_values{1988} process[recruit_E].ycs_values{1989} process[recruit_E].ycs_values{1990} process[recruit_E].ycs_values{1991} process[recruit_E].ycs_values{1992} process[recruit_E].ycs_values{1993} process[recruit_E].ycs_values{1994} process[recruit_E].ycs_values{1995} process[recruit_E].ycs_values{1996} process[recruit_E].ycs_values{1997} process[recruit_E].ycs_values{1998} process[recruit_E].ycs_values{1999} process[recruit_E].ycs_values{2000} process[recruit_E].ycs_values{2001} process[recruit_E].ycs_values{2002} process[recruit_E].ycs_values{2003} process[recruit_E].ycs_values{2004} process[recruit_E].ycs_values{2005} process[recruit_E].ycs_values{2006} process[recruit_E].ycs_values{2007} process[recruit_E].ycs_values{2008} process[recruit_E].ycs_values{2009} process[recruit_E].ycs_values{2010} process[recruit_E].ycs_values{2011} process[recruit_E].ycs_values{2012} process[recruit_E].ycs_values{2013} process[recruit_E].ycs_values{2014} process[recruit_W].ycs_values{1975} process[recruit_W].ycs_values{1976} process[recruit_W].ycs_values{1977} process[recruit_W].ycs_values{1978} process[recruit_W].ycs_values{1979} process[recruit_W].ycs_values{1980} process[recruit_W].ycs_values{1981} process[recruit_W].ycs_values{1982} process[recruit_W].ycs_values{1983} process[recruit_W].ycs_values{1984} process[recruit_W].ycs_values{1985} process[recruit_W].ycs_values{1986} process[recruit_W].ycs_values{1987} process[recruit_W].ycs_values{1988} process[recruit_W].ycs_values{1989} process[recruit_W].ycs_values{1990} process[recruit_W].ycs_values{1991} process[recruit_W].ycs_values{1992} process[recruit_W].ycs_values{1993} process[recruit_W].ycs_values{1994} process[recruit_W].ycs_values{1995} process[recruit_W].ycs_values{1996} process[recruit_W].ycs_values{1997} process[recruit_W].ycs_values{1998} process[recruit_W].ycs_values{1999} process[recruit_W].ycs_values{2000} process[recruit_W].ycs_values{2001} process[recruit_W].ycs_values{2002} process[recruit_W].ycs_values{2003} process[recruit_W].ycs_values{2004} process[recruit_W].ycs_values{2005} process[recruit_W].ycs_values{2006} process[recruit_W].ycs_values{2007} process[recruit_W].ycs_values{2008} process[recruit_W].ycs_values{2009} process[recruit_W].ycs_values{2010} process[recruit_W].ycs_values{2011} process[recruit_W].ycs_values{2012} process[recruit_W].ycs_values{2013} process[recruit_W].ycs_values{2014} selectivity[M_male].x0 selectivity[M_male].y0 selectivity[M_male].y1 selectivity[M_male].y2 selectivity[M_female].x0 selectivity[M_female].y0 selectivity[M_female].y1 selectivity[M_female].y2 selectivity[sel_Whome].v{1} selectivity[sel_Whome].v{2} selectivity[sel_Whome].v{3} selectivity[sel_Whome].v{4} selectivity[sel_Whome].v{5} selectivity[sel_Whome].v{6} selectivity[sel_Whome].v{7} selectivity[sel_Espmg_Male].v{1} selectivity[sel_Espmg_Male].v{2} selectivity[sel_Espmg_Male].v{3} selectivity[sel_Espmg_Male].v{4} selectivity[sel_Espmg_Male].v{5} selectivity[sel_Espmg_Male].v{6} selectivity[sel_Espmg_Male].v{7} selectivity[sel_Espmg_Male].v{8} selectivity[sel_Wspmg_Male].v{1} selectivity[sel_Wspmg_Male].v{2} selectivity[sel_Wspmg_Male].v{3} selectivity[sel_Wspmg_Male].v{4} selectivity[sel_Wspmg_Male].v{5} selectivity[sel_Wspmg_Male].v{6} selectivity[sel_Wspmg_Male].v{7} selectivity[sel_Wspmg_Male].v{8} selectivity[sel_Espmg_Female].v{1} selectivity[sel_Espmg_Female].v{2} selectivity[sel_Espmg_Female].v{3} selectivity[sel_Espmg_Female].v{4} selectivity[sel_Espmg_Female].v{5} selectivity[sel_Espmg_Female].v{6} selectivity[sel_Espmg_Female].v{7} selectivity[sel_Espmg_Female].v{8} selectivity[sel_Wspmg_Female].v{1} selectivity[sel_Wspmg_Female].v{2} selectivity[sel_Wspmg_Female].v{3} selectivity[sel_Wspmg_Female].v{4} selectivity[sel_Wspmg_Female].v{5} selectivity[sel_Wspmg_Female].v{6} selectivity[sel_Wspmg_Female].v{7} selectivity[sel_Wspmg_Female].v{8} selectivity[Enspsl].mu selectivity[Enspsl].sigma_l selectivity[Enspsl].sigma_r selectivity[Wnspsl].mu selectivity[Wnspsl].sigma_l selectivity[Wnspsl].sigma_r selectivity[Espsl].a50 selectivity[Espsl].ato95 time_varying[shifted_a50].a selectivity[CRsl].mu selectivity[CRsl].sigma_l selectivity[CRsl].sigma_r selectivity[SAsl].mu selectivity[SAsl].sigma_l selectivity[SAsl].sigma_r 
0.606139 0.535263 0.0791051 0.0860539 0.0748305 0.112524 0.373076 14.0819 0.345135 0.320534 0.474931 0.528844 0.953146 0.72865 0.263612 0.351609 0.225908 0.383539 0.447345 0.377917 0.210609 1.01863 0.974537 0.44347 0.134145 0.417326 0.423246 0.399579 0.624543 0.278732 0.299857 0.509426 0.307866 0.06 0.531958 0.165339 0.300604 0.527883 0.58577 0.522813 0.660574 0.564939 0.37533 0.710452 0.117165 0.875537 0.325783 0.356484 2.00907 0.426135 0.701437 0.620797 0.603289 0.457976 0.503414 0.589369 0.486118 0.922257 0.832302 0.329776 0.154071 1.52717 0.880678 0.0844391 0.077871 0.860605 1.29731 0.354352 1.01608 0.220073 0.201149 0.251208 0.188218 0.06 0.333417 0.0862405 0.73872 0.446763 0.489645 0.499236 0.725647 0.587229 0.674019 0.454603 0.120333 1.15804 0.347495 0.317876 2.00912 7.05686 0.181775 1.43177 1.57154 6.50055 0.0882368 1.71508 0.811554 0.136076 0.0540988 0.263641 0.364076 0.329374 0.726785 0.999999 0.00263519 0.132895 0.421299 0.653615 0.658525 0.74103 0.820607 0.565189 0.219759 0.66614 0.778933 0.804313 0.866044 0.742674 0.638019 0.542226 0.000394569 0.0653656 0.204623 0.374549 0.373434 0.473277 0.620571 0.6 0.122146 0.329792 0.234849 0.503469 0.544597 0.543824 0.700183 0.6 71.0507 10.7596 44 67.5608 12.6278 27.0073 44.8046 4 -0.0913464 64 17.1698 38.1368 84 44 44 
*end

*covariance_matrix[mpd_covariance]
covariance_matrix {matrix}
0.00356713 0.000788848 6.97904e-06 0.000104035 5.60727e-05 -3.98903e-05 -0.00068233 -0.00123699 -0.000202529 0.000522474 -0.000144961 7.05365e-05 -0.000564513 -0.000559304 0.000323414 -0.000133946 -6.09503e-05 -0.000250792 4.52762e-05 4.55269e-05 1.01168e-05 0.000140723 0.000348617 0.000173283 9.20797e-05 0.000222156 0.000168186 0.000267961 0.000329993 0.00015331 0.000144456 0.000177967 0.000132956 6.22131e-14 0.000105666 5.85824e-05 -6.20691e-05 8.24827e-05 -4.37569e-05 1.19641e-05 -9.64545e-05 0.000149173 -0.000426605 -0.000101236 1.04614e-05 -0.000321785 -0.000277596 0.000666252 -0.00280293 0.000149371 -9.295e-05 -1.36389e-05 0.000279304 -0.000187477 -0.000879991 3.69682e-05 -2.52023e-05 0.000285998 -0.000200029 -0.000159572 -2.48045e-05 4.42074e-05 -0.000187275 6.28957e-05 4.0658e-05 -0.000469528 -0.00035245 -0.000211532 -0.000204973 -7.81166e-05 -8.20339e-05 5.10626e-06 -2.87588e-05 -1.01466e-14 2.28545e-05 -4.06545e-05 -7.62752e-06 -1.32184e-05 0.000181161 -7.77097e-05 -5.38677e-05 -0.000281174 1.01666e-05 -0.000237054 -8.87869e-05 -0.00129215 2.2303e-05 -0.000734535 -0.00280709 -0.000314305 -3.31925e-05 0.00122439 0.000707839 0.000387461 6.4394e-06 0.00127504 -0.000285809 -0.000231966 -0.000175061 6.51951e-05 -0.000486956 -0.000498208 -0.00119347 -1.07665e-07 -1.13526e-05 -0.000194727 -0.000433397 -0.000409045 -0.000298291 -0.00114969 -0.000185872 -1.41611e-06 -0.00216694 0.00115493 -0.000132808 -0.000244275 -0.000672575 0.000322896 -0.000128343 -0.00028521 -7.68788e-07 -8.80156e-05 -0.000267624 -0.000284385 -0.000219516 -0.000503523 -0.000104905 -2.20145e-09 -0.00130823 0.00041052 1.42724e-05 0.000156848 -0.000233287 -9.23529e-05 -0.000411475 -3.72225e-11 0.010445 0.00298836 5.29651e-07 -0.0158838 -0.00953872 0.0164639 -0.0219635 -5.91667e-08 -0.000282148 -3.1773e-10 -0.00473568 0.248824 4.95191e-08 7.27028e-08 3.46971e-07 
0.000788848 0.00737788 0.000195176 0.00103503 0.00070034 -3.38897e-05 -0.00102847 -0.00355712 0.000999212 -0.000505589 -0.000733865 -0.00092431 -0.00194778 -0.00219924 9.62409e-06 -0.000597662 -6.98945e-05 -0.000119015 -0.000417957 -7.5013e-05 -0.000214546 -2.37048e-05 6.14466e-05 -3.10994e-05 -2.01751e-05 0.000175557 7.13672e-05 7.1967e-05 0.0003596 8.7346e-05 9.27386e-05 0.000395123 0.000276991 -1.25289e-13 0.00034827 -3.22582e-05 0.000240729 3.52173e-05 0.00016883 -1.21976e-05 0.000371912 -6.46885e-05 0.000119099 -0.00019635 5.19958e-05 -0.000297612 -0.000328131 -6.21359e-05 -0.00233004 -0.000954873 -0.00535364 -0.00112325 -0.000363658 -0.00107846 -0.000662266 -0.000989089 -0.000588803 -0.00110511 -0.000412175 -8.78694e-05 7.72708e-05 -0.00168635 -0.000730516 1.55088e-05 5.75972e-05 -0.000267651 0.0006813 -1.94348e-05 0.000125955 5.8952e-05 0.000132054 -0.000254376 -0.000292788 2.2932e-15 -0.00057018 2.67984e-05 -0.00072279 -0.000303876 -0.000225672 0.000101858 -0.000106421 0.000138862 4.54178e-05 -0.000367543 -1.9678e-05 -0.000527679 0.000498765 0.000494255 -0.00233156 -0.000721352 -0.000160416 1.22033e-06 -0.000452274 -2.83885e-06 -6.06478e-05 -0.000112156 -0.00320792 -0.000796885 -0.000354446 -0.00110106 -0.000272262 -0.0044626 -0.00188005 1.08041e-08 3.48183e-06 9.33496e-05 0.000222492 0.000573879 0.000761373 0.000383279 -0.00161026 0.000337368 0.000740452 0.00114419 -0.000639626 -0.00278629 0.000990447 0.00142941 -0.000169397 0.0004847 4.60846e-07 3.96781e-05 0.00011961 0.000241861 0.000233405 0.000221842 0.000369109 1.21784e-09 0.000568623 0.0009019 7.47138e-05 -0.000167266 -1.26563e-05 2.79168e-05 -0.00221679 -1.45872e-10 -0.0196003 -0.00603668 -2.19089e-07 0.0242229 0.0375948 -0.027278 0.0067749 3.68012e-08 0.000164601 -8.58165e-10 0.0101929 -0.0820086 -3.21849e-08 -4.801e-08 -1.67406e-07 
6.97904e-06 0.000195176 6.76859e-05 3.76704e-05 2.9632e-05 -8.72839e-06 -0.000141612 -4.19994e-05 5.79014e-05 -1.45448e-05 -1.18534e-05 2.37105e-06 -0.000124078 -5.73139e-05 -2.6335e-05 -1.22352e-05 -3.55127e-05 -5.31582e-05 -3.40774e-05 -3.81649e-05 -7.3673e-07 -6.8568e-05 -2.07006e-05 -3.48269e-05 -7.66669e-06 1.97885e-05 1.24907e-05 1.69915e-06 4.74526e-05 1.3959e-06 4.31289e-06 1.86079e-05 1.0743e-05 2.9901e-14 5.80866e-06 -1.47571e-06 3.80432e-06 -2.9161e-05 -3.63108e-05 -3.41222e-05 -3.88944e-05 -7.3289e-05 1.9856e-05 -0.000112059 -8.53409e-06 -9.36128e-05 1.14491e-05 3.17461e-05 -3.15193e-05 -6.16591e-05 0.000158481 -8.39772e-05 -2.20515e-05 8.3465e-05 9.94391e-06 1.04801e-05 -8.30044e-06 0.00010785 -1.72582e-05 1.13709e-05 1.13938e-05 1.65288e-06 -7.42132e-06 6.46274e-06 1.23674e-05 1.05136e-05 0.000115078 3.44212e-05 6.49244e-05 3.04863e-05 1.21076e-05 -1.70789e-06 -1.35316e-06 -2.4468e-16 -6.73454e-06 -1.16495e-05 2.93728e-05 2.39862e-05 2.21025e-05 3.90065e-05 5.67812e-05 7.31877e-05 2.1879e-06 6.40709e-05 -1.3037e-05 7.61103e-05 -1.8225e-05 3.53935e-05 -3.14488e-05 -0.000674383 -4.33825e-05 -0.00043076 -0.000169892 -0.000460486 -4.0501e-05 -0.000478823 3.12131e-05 3.62186e-05 9.5419e-05 6.87508e-05 -1.75744e-05 -4.55307e-05 0.000364619 2.64054e-08 3.8973e-06 8.75565e-05 0.000199241 0.000221575 0.000171856 2.53825e-05 4.84809e-05 -2.55146e-05 0.000576817 -8.48454e-05 -4.2686e-05 1.76776e-06 4.43084e-05 -6.86586e-05 9.9479e-05 -4.36734e-05 4.01367e-07 3.95887e-05 8.44851e-05 0.000110178 6.28354e-05 7.85726e-05 0.000140581 6.16547e-10 0.000323968 -6.86349e-05 -1.24065e-06 -2.1551e-05 -2.12173e-05 -5.17465e-05 1.57136e-05 4.08012e-12 -0.00515083 -0.00111703 -1.4047e-07 0.00643234 0.00690748 -0.00483514 0.00511774 1.94661e-08 8.16216e-05 -2.15824e-11 0.00380415 -0.0627663 -1.48276e-08 -2.24534e-08 -9.42606e-08 
0.000104035 0.00103503 3.76704e-05 0.000224002 0.000123751 -6.03298e-06 -0.000131309 -0.000581985 0.000182944 -0.000131954 -4.4651e-05 -9.17209e-05 -0.000201207 -0.000306462 2.06701e-05 -7.82188e-05 -4.42434e-05 -5.17608e-05 -4.55547e-05 -3.84829e-05 -2.3724e-05 -4.80166e-05 -2.00769e-05 -1.99254e-05 -1.41002e-05 2.75037e-05 -4.26349e-06 -2.63529e-06 6.00841e-05 4.9379e-06 1.12012e-05 5.89427e-05 4.94235e-05 1.10589e-14 5.54059e-05 -4.88412e-06 4.21907e-05 -5.20551e-06 2.59155e-05 -1.86003e-05 3.10813e-05 -2.09483e-05 2.78329e-05 -0.000103801 -7.77415e-06 -1.95704e-05 -5.2056e-05 -7.33722e-05 -0.000444521 -0.000189959 -0.000934156 -0.000181586 -3.85696e-05 -0.000139 -2.44374e-05 -0.000152953 -7.81001e-05 -0.000209877 -8.72719e-05 -5.12265e-05 1.17267e-05 -0.000296823 -0.000104387 -2.55346e-07 1.62239e-05 -5.62823e-05 0.000130364 5.3586e-06 5.24938e-07 1.5001e-05 1.75963e-05 -4.44052e-05 -6.6083e-05 1.7939e-15 -0.000113308 -1.57822e-05 -0.000138032 -5.7177e-05 -5.16729e-05 3.49469e-05 2.20194e-05 3.96897e-05 1.22538e-05 8.58437e-06 7.91932e-06 -0.000121033 6.36884e-05 0.000159952 -0.000444947 -7.74181e-05 -4.07459e-05 0.000153477 -0.000134265 -0.000346972 -1.42272e-05 0.000234144 -0.000577334 -0.000156902 -7.12694e-05 -0.000224234 1.13889e-05 -0.000804547 -0.000477798 1.21994e-08 8.47349e-07 1.74553e-05 8.5165e-05 0.000142173 0.000161081 0.000149857 -0.000234286 5.50535e-05 0.00023385 0.000275683 4.93025e-05 -0.000339308 0.000325609 0.000307118 0.000240768 9.48022e-05 8.29557e-08 1.23734e-05 3.58343e-05 6.15942e-05 5.33727e-05 4.30339e-05 6.91507e-05 1.92849e-10 0.000167766 0.0002096 1.43372e-05 -2.67644e-05 5.97195e-05 4.40865e-05 -0.000344325 -1.18621e-11 -0.00460023 -0.00174326 -5.67879e-08 0.000310821 0.00295268 -0.00306776 0.00216513 -2.70687e-09 3.97929e-05 -3.41853e-10 0.000460127 -0.0275449 -2.31822e-09 -1.54302e-09 -3.47163e-08 
5.60727e-05 0.00070034 2.9632e-05 0.000123751 0.000137714 -3.6943e-06 -0.000121276 -0.000366375 0.000124505 -8.36545e-05 -8.33849e-05 -0.000117016 -0.000167422 -0.000195626 -3.56062e-05 -3.7952e-05 -1.23962e-05 -4.84118e-05 -2.30216e-05 -3.16111e-05 -7.42309e-06 -2.85978e-05 8.47204e-07 -1.36258e-05 -1.08753e-05 2.51695e-05 -2.59518e-06 -7.23931e-06 3.03712e-05 -3.01402e-07 4.9084e-06 2.88234e-05 2.54798e-05 7.23485e-15 2.45836e-05 2.47217e-07 1.45898e-05 -9.79968e-06 6.41795e-06 -1.04093e-05 2.2394e-05 -8.03898e-06 4.67626e-06 -2.10868e-05 -2.6154e-05 -5.15888e-05 -6.01443e-05 -5.8864e-06 -0.000242106 -0.000155105 -0.000585124 -0.000153839 -3.57223e-05 -0.000114208 -8.13984e-05 -0.000113165 -7.3619e-05 -0.000160797 -0.000123615 -0.000101054 -2.53638e-05 -0.00034485 -0.000138459 -2.74199e-06 1.14525e-05 -4.49771e-05 0.000118331 2.87931e-05 5.08737e-05 2.38727e-05 2.04425e-05 -9.3468e-06 -2.51354e-05 -3.86429e-15 -4.74902e-05 -1.85872e-05 -3.95473e-05 -9.53116e-06 4.79526e-06 4.72317e-05 5.83732e-05 5.14765e-05 5.85893e-05 -8.66483e-06 3.55806e-05 0.000239613 5.93873e-05 0.000129513 -0.000242262 -0.000271194 -3.70267e-05 5.91835e-05 -9.22157e-05 -0.000405618 -1.16705e-05 7.19698e-05 -0.000345157 -0.000101437 -2.83962e-05 -0.000158873 -1.24577e-05 -0.000453104 -0.000245457 1.07502e-08 1.08234e-06 3.22967e-05 7.73284e-05 0.000141048 0.000145806 0.000105054 -0.000156035 4.16604e-05 0.000205053 0.000152658 3.84735e-05 -0.000210476 0.000220931 0.000197084 0.000146341 4.33159e-05 1.0432e-07 1.55076e-05 1.97255e-05 7.6839e-05 7.20209e-05 3.43305e-05 7.86013e-05 1.74431e-10 0.000136483 0.000115339 2.21955e-05 5.05136e-06 1.46625e-05 1.42244e-05 -0.000220289 -6.26177e-12 -0.00325224 -0.00104983 -4.91254e-08 0.000638663 0.00248588 -0.0015268 0.00176407 -2.63867e-10 3.95682e-05 -1.72381e-10 0.00105847 -0.0232437 -2.62648e-09 -2.68918e-09 -3.04106e-08 
