Casal2
Call: casal2 -e 
Date: Wed Jul 13 15:53:33 2022
Seed: 84413
Version: v22.06 (2022-06-30)
Copyright (c) 2017-2022, NIWA (www.niwa.co.nz)
Environment: User=marshc Machine=NIWA-1008960 OS=Windows_NT PID=8240


*estimate_value[summary]
values {dataframe}
catchability[CSacous].q catchability[WCacous].q catchability[CRsum].q catchability[SAsum].q catchability[SAaut].q observation[CRsumbio].process_error observation[SAsumbio].process_error parameter_transformation[log_sum_b0].log_total_parameter parameter_transformation[log_sum_b0].total_proportion_parameter process[recruit_E].ycs_values{1975} process[recruit_E].ycs_values{1976} process[recruit_E].ycs_values{1977} process[recruit_E].ycs_values{1978} process[recruit_E].ycs_values{1979} process[recruit_E].ycs_values{1980} process[recruit_E].ycs_values{1981} process[recruit_E].ycs_values{1982} process[recruit_E].ycs_values{1983} process[recruit_E].ycs_values{1984} process[recruit_E].ycs_values{1985} process[recruit_E].ycs_values{1986} process[recruit_E].ycs_values{1987} process[recruit_E].ycs_values{1988} process[recruit_E].ycs_values{1989} process[recruit_E].ycs_values{1990} process[recruit_E].ycs_values{1991} process[recruit_E].ycs_values{1992} process[recruit_E].ycs_values{1993} process[recruit_E].ycs_values{1994} process[recruit_E].ycs_values{1995} process[recruit_E].ycs_values{1996} process[recruit_E].ycs_values{1997} process[recruit_E].ycs_values{1998} process[recruit_E].ycs_values{1999} process[recruit_E].ycs_values{2000} process[recruit_E].ycs_values{2001} process[recruit_E].ycs_values{2002} process[recruit_E].ycs_values{2003} process[recruit_E].ycs_values{2004} process[recruit_E].ycs_values{2005} process[recruit_E].ycs_values{2006} process[recruit_E].ycs_values{2007} process[recruit_E].ycs_values{2008} process[recruit_E].ycs_values{2009} process[recruit_E].ycs_values{2010} process[recruit_E].ycs_values{2011} process[recruit_E].ycs_values{2012} process[recruit_E].ycs_values{2013} process[recruit_E].ycs_values{2014} process[recruit_W].ycs_values{1975} process[recruit_W].ycs_values{1976} process[recruit_W].ycs_values{1977} process[recruit_W].ycs_values{1978} process[recruit_W].ycs_values{1979} process[recruit_W].ycs_values{1980} process[recruit_W].ycs_values{1981} process[recruit_W].ycs_values{1982} process[recruit_W].ycs_values{1983} process[recruit_W].ycs_values{1984} process[recruit_W].ycs_values{1985} process[recruit_W].ycs_values{1986} process[recruit_W].ycs_values{1987} process[recruit_W].ycs_values{1988} process[recruit_W].ycs_values{1989} process[recruit_W].ycs_values{1990} process[recruit_W].ycs_values{1991} process[recruit_W].ycs_values{1992} process[recruit_W].ycs_values{1993} process[recruit_W].ycs_values{1994} process[recruit_W].ycs_values{1995} process[recruit_W].ycs_values{1996} process[recruit_W].ycs_values{1997} process[recruit_W].ycs_values{1998} process[recruit_W].ycs_values{1999} process[recruit_W].ycs_values{2000} process[recruit_W].ycs_values{2001} process[recruit_W].ycs_values{2002} process[recruit_W].ycs_values{2003} process[recruit_W].ycs_values{2004} process[recruit_W].ycs_values{2005} process[recruit_W].ycs_values{2006} process[recruit_W].ycs_values{2007} process[recruit_W].ycs_values{2008} process[recruit_W].ycs_values{2009} process[recruit_W].ycs_values{2010} process[recruit_W].ycs_values{2011} process[recruit_W].ycs_values{2012} process[recruit_W].ycs_values{2013} process[recruit_W].ycs_values{2014} selectivity[M_male].x0 selectivity[M_male].y0 selectivity[M_male].y1 selectivity[M_male].y2 selectivity[M_female].x0 selectivity[M_female].y0 selectivity[M_female].y1 selectivity[M_female].y2 selectivity[sel_Whome].v{1} selectivity[sel_Whome].v{2} selectivity[sel_Whome].v{3} selectivity[sel_Whome].v{4} selectivity[sel_Whome].v{5} selectivity[sel_Whome].v{6} selectivity[sel_Whome].v{7} selectivity[sel_Espmg_Male].v{1} selectivity[sel_Espmg_Male].v{2} selectivity[sel_Espmg_Male].v{3} selectivity[sel_Espmg_Male].v{4} selectivity[sel_Espmg_Male].v{5} selectivity[sel_Espmg_Male].v{6} selectivity[sel_Espmg_Male].v{7} selectivity[sel_Espmg_Male].v{8} selectivity[sel_Wspmg_Male].v{1} selectivity[sel_Wspmg_Male].v{2} selectivity[sel_Wspmg_Male].v{3} selectivity[sel_Wspmg_Male].v{4} selectivity[sel_Wspmg_Male].v{5} selectivity[sel_Wspmg_Male].v{6} selectivity[sel_Wspmg_Male].v{7} selectivity[sel_Wspmg_Male].v{8} selectivity[sel_Espmg_Female].v{1} selectivity[sel_Espmg_Female].v{2} selectivity[sel_Espmg_Female].v{3} selectivity[sel_Espmg_Female].v{4} selectivity[sel_Espmg_Female].v{5} selectivity[sel_Espmg_Female].v{6} selectivity[sel_Espmg_Female].v{7} selectivity[sel_Espmg_Female].v{8} selectivity[sel_Wspmg_Female].v{1} selectivity[sel_Wspmg_Female].v{2} selectivity[sel_Wspmg_Female].v{3} selectivity[sel_Wspmg_Female].v{4} selectivity[sel_Wspmg_Female].v{5} selectivity[sel_Wspmg_Female].v{6} selectivity[sel_Wspmg_Female].v{7} selectivity[sel_Wspmg_Female].v{8} selectivity[Enspsl].mu selectivity[Enspsl].sigma_l selectivity[Enspsl].sigma_r selectivity[Wnspsl].mu selectivity[Wnspsl].sigma_l selectivity[Wnspsl].sigma_r selectivity[Espsl].a50 selectivity[Espsl].ato95 time_varying[shifted_a50].a selectivity[CRsl].mu selectivity[CRsl].sigma_l selectivity[CRsl].sigma_r selectivity[SAsl].mu selectivity[SAsl].sigma_l selectivity[SAsl].sigma_r 
0.63048 0.663392 0.0823286 0.113664 0.0866629 0.112301 0.112699 13.9974 0.367282 0.30011 0.442097 0.498718 0.897998 0.69312 0.254438 0.340626 0.220879 0.376622 0.441285 0.374449 0.209871 1.0179 0.977629 0.444465 0.13384 0.428598 0.432887 0.401997 0.646971 0.280942 0.303287 0.520245 0.317298 0.06 0.539613 0.166327 0.307197 0.530867 0.59912 0.526875 0.685102 0.576979 0.420577 0.741861 0.116315 0.93492 0.329407 0.354005 2.00006 0.428976 0.715973 0.640328 0.632276 0.482054 0.536815 0.635638 0.524444 0.998903 0.90107 0.353115 0.163171 1.57926 0.911586 0.0851926 0.0793612 0.832678 1.25776 0.342253 0.966103 0.212057 0.190756 0.233922 0.172022 0.06 0.328704 0.0841296 0.773149 0.481088 0.512794 0.530474 0.71769 0.564126 0.610246 0.383404 0.114684 1.01934 0.324329 0.315052 2.00007 7.17812 0.184904 1.39829 1.49574 6.63899 0.0889777 1.67856 0.768268 0.114495 0.0355303 0.235995 0.437751 0.181732 0.725534 0.999996 0.00250903 0.124109 0.3959 0.622982 0.635408 0.725078 0.818654 0.571702 0.238595 0.740254 0.813329 0.728031 0.88165 0.725888 0.63196 0.553435 0.000376377 0.0614194 0.194888 0.362939 0.365617 0.468825 0.619069 0.6 0.133285 0.37817 0.240084 0.486392 0.550527 0.536691 0.682706 0.6 70.9131 10.6825 44 64 10.226 30.8426 44.8895 4 -0.0800943 64 17.3974 37.549 84 44 44 
*end

*covariance_matrix[mpd_covariance]
covariance_matrix {matrix}
0.00489987 0.00183362 5.36691e-05 0.000311101 0.000158401 -4.38098e-05 -3.26124e-05 -0.00165734 -0.000426239 0.000228391 -0.000824611 -0.000746599 -0.00113346 -0.00169441 7.38564e-05 -7.24772e-05 -0.000372528 -4.17009e-05 -0.000283931 0.000167347 0.000134414 0.000401716 0.000587175 0.000491836 7.77862e-05 0.000438714 0.000433467 0.000436836 0.0005973 0.000300153 0.000314282 0.000419747 0.0002604 3.91092e-14 0.000304785 0.000117011 4.85458e-06 0.000272392 0.000317772 0.000235301 0.000224201 0.000295829 -0.000434165 0.000203139 7.03768e-05 3.46688e-05 -0.000323197 0.0001242 -0.00122235 -0.0012908 -0.000250829 -0.00188336 -0.00135527 -0.000712388 0.000466638 -9.3904e-05 1.32796e-05 0.0011502 0.000555892 0.000112101 -0.000338425 0.00021456 0.000504565 3.06596e-05 -1.08188e-05 0.0004987 0.000569347 0.000328137 0.000871752 0.000163558 0.000114371 0.000329851 0.00022917 -2.58694e-15 0.000336749 6.3261e-05 0.00042074 0.000424825 0.000554397 0.000524195 0.000610945 0.000319223 0.000704225 0.000243446 2.73429e-05 -5.96409e-06 -5.28042e-05 -0.000458562 -0.00122374 0.00770252 -0.000339879 0.000631553 0.00604689 0.00555302 -0.000100718 0.00047037 -8.80681e-05 -0.000419466 0.000178436 -0.000500184 -0.000544745 -0.00115644 0.000662645 -3.84131e-06 -1.2415e-05 -0.000332357 -0.000967926 -0.00129175 -0.000423965 -0.00123046 0.00033712 -8.69843e-05 -0.00205003 -0.000609467 2.31085e-05 -0.000701321 -0.000142032 0.000261283 0.000266703 -0.000179696 -9.50461e-07 -0.000167288 -0.000440296 -0.000737276 -0.000376217 -0.000433231 -9.21355e-05 -1.25683e-10 -0.0010316 0.000265259 4.63597e-05 -0.000153325 0.000429378 -0.000112399 -0.000330927 6.70773e-12 0.024405 0.00940983 1.21559e-07 5.91241e-09 0.00512339 -0.00905348 -0.0208976 8.34079e-09 -0.000263833 -1.03018e-11 -0.00328536 0.187131 -6.60019e-07 -9.92569e-09 1.16432e-07 
0.00183362 0.011264 7.87091e-05 0.0011642 0.000623034 3.00527e-06 -7.57402e-05 -0.00359791 0.000646437 -0.000273304 -0.00218547 -0.00190121 -0.00332308 -0.0018606 -0.000638088 -0.000704332 -0.000630629 -0.000494 -0.000343906 -0.000285189 -0.0001235 -0.000330343 1.29209e-05 3.79763e-05 -3.06913e-05 0.000173169 1.52451e-05 0.000114677 0.000204994 9.5715e-05 8.63162e-05 7.19167e-05 0.000182525 2.94986e-14 0.000180413 7.29197e-05 0.000163763 0.000284966 0.000558737 0.000280969 0.000572691 0.000229074 0.00138028 0.000526808 -9.59875e-05 0.00114448 0.00015889 0.000146286 0.00123683 -0.00176288 -0.0038496 -0.000226165 -0.00189662 -0.00147055 0.000410321 -0.00113387 -0.000586627 -0.000702003 -0.000636803 -0.000178876 0.00012545 0.00058889 0.000433039 7.76859e-05 0.000152097 0.00123771 0.00283613 0.000776305 0.00245842 0.000537998 0.000494909 0.000714359 0.000284333 8.42093e-15 0.000426226 -3.28804e-05 0.000624119 0.000349803 0.00025474 0.000429821 0.000454894 0.000392869 -0.000754569 -0.000462529 7.32418e-05 -0.00123888 0.000502977 -0.000331252 0.00122892 0.0092931 -0.000403104 0.00104282 0.00174201 0.00729126 -0.000179951 0.00153118 -0.00158944 -0.000860754 0.000167571 -0.00173684 0.0001109 -0.00148306 -0.00385375 -1.36573e-06 -1.09703e-05 -0.000369816 -0.000871373 -0.000964458 -0.00116858 -0.000537908 -0.000554801 -0.000931079 -0.000799132 -0.00134293 0.000315169 -0.00210144 -0.0027661 0.00022755 -0.000775449 -0.000886121 -1.35427e-06 -0.000142087 -0.000364399 -0.000444013 -0.000235681 -0.000240996 0.000390516 -8.24019e-11 -0.000217828 -0.000198668 5.04097e-05 -0.00081797 -0.000297756 -0.000115669 -0.00220082 1.74089e-11 0.00977453 0.00212003 4.50133e-08 5.39224e-10 -0.000821257 0.0278966 -0.0065514 -4.35421e-09 6.64846e-05 1.38142e-10 -0.0102663 0.0528852 -2.36307e-07 3.19518e-09 4.30073e-08 
5.36691e-05 7.87091e-05 5.53589e-05 2.15106e-05 1.4589e-05 -8.54489e-07 -1.79149e-06 4.65441e-05 4.45316e-06 2.62392e-05 1.47977e-05 2.5933e-05 -3.21761e-05 -1.82172e-05 1.03274e-05 1.7404e-05 -9.08111e-06 1.94338e-05 -3.57009e-06 1.11362e-05 9.16385e-06 5.54443e-05 7.2128e-05 2.54992e-05 5.45875e-06 4.67557e-05 4.81805e-05 4.07529e-05 7.63692e-05 2.93718e-05 2.93783e-05 6.07314e-05 2.82187e-05 1.49086e-15 4.70983e-05 7.77272e-06 1.80533e-05 2.00696e-05 1.36954e-05 2.31198e-05 8.12504e-06 2.60809e-05 2.27355e-05 4.65874e-06 5.96056e-06 -4.45079e-06 -6.01106e-05 -1.15133e-05 -0.000191064 -5.37742e-05 -9.66956e-06 -2.41745e-05 -0.000146218 -1.12656e-05 8.35239e-05 3.50923e-05 -1.1117e-06 8.50052e-05 5.31392e-05 -1.11329e-06 -2.49375e-06 9.94369e-05 3.37265e-05 2.27069e-06 9.28418e-06 7.55645e-05 0.000143278 3.50176e-05 0.000151349 3.07431e-05 2.7744e-05 2.44583e-05 3.15551e-05 -7.29251e-17 3.3401e-05 1.3717e-05 7.25865e-05 4.65979e-05 5.6257e-05 4.12726e-05 7.81314e-05 3.25164e-05 3.01689e-05 2.86728e-05 2.22022e-06 4.28637e-05 3.37731e-05 -6.81605e-05 -0.00019203 -0.00247152 1.35949e-05 0.000165309 -0.00133665 -0.000792479 -3.7031e-05 0.000182372 -2.28723e-05 1.03e-05 6.41224e-05 7.54538e-05 6.49347e-06 -4.92588e-05 7.92543e-05 7.18138e-07 2.14644e-06 5.90002e-05 0.000153312 0.000163864 0.000143081 -6.63432e-05 -4.21321e-05 6.28095e-05 0.00040137 3.22626e-05 -3.00534e-05 9.12707e-05 0.00011703 4.65445e-05 6.77631e-05 4.34346e-05 2.17899e-07 2.67664e-05 6.83579e-05 7.96267e-05 6.40869e-05 4.74495e-05 0.000115776 3.9155e-11 0.000247628 -2.12704e-05 1.87821e-07 2.52008e-05 3.04494e-05 2.24033e-05 -1.51412e-05 -1.06752e-12 -0.00327916 -0.00105381 -2.33836e-08 -1.15487e-09 0.000843791 0.0020969 0.00305616 -1.42385e-09 4.86129e-05 5.72898e-13 -0.000762205 -0.0442363 1.22802e-07 2.37797e-09 -2.2459e-08 
0.000311101 0.0011642 2.15106e-05 0.000245117 0.000118435 -2.09957e-06 -2.06481e-05 -0.000574316 0.000104658 -0.000175685 -0.000345353 -0.000279858 -0.000662574 -0.000345524 -9.22464e-05 -0.000125103 -6.30504e-05 -7.80764e-05 -6.36067e-05 -3.25501e-05 -9.06247e-06 -2.13569e-05 3.99263e-05 2.11908e-05 3.66122e-07 4.60056e-05 2.02858e-05 4.23467e-05 7.13283e-05 3.09746e-05 3.29776e-05 3.94723e-05 4.68159e-05 3.26501e-15 6.20386e-05 1.80475e-05 5.03163e-05 7.30604e-05 0.00013987 7.55984e-05 0.000138199 0.000101339 0.000178422 0.000175093 2.53598e-08 0.00026522 2.98493e-05 -3.48154e-06 0.000345149 -0.000312506 -0.000516225 -0.00010256 -0.000249053 -0.000238992 0.000104447 -0.000189813 -0.000151911 -7.20371e-05 -0.000171302 -1.34379e-05 -3.97685e-06 -4.64461e-05 4.62203e-05 1.4707e-05 2.39803e-05 0.000209099 0.000481933 0.00012567 0.000407702 9.62149e-05 8.0833e-05 0.000120427 4.7676e-05 7.32051e-16 5.70288e-05 1.79161e-06 7.68733e-05 8.02148e-05 4.4171e-05 0.000111564 0.000124664 6.71149e-05 -2.60507e-05 -0.000101028 1.38551e-05 -0.000152086 5.53797e-05 -8.77592e-05 0.000339759 0.0013819 -4.80975e-05 -3.21964e-05 -0.000231676 0.00156611 -3.99252e-05 4.76752e-06 -0.00018869 -0.000149177 -6.14691e-06 -0.000272633 -5.73897e-05 -0.000137392 -0.000507662 4.47087e-08 -1.17841e-06 -5.20145e-05 -0.000143008 -0.000167811 -0.000212758 -8.81555e-05 -6.00177e-05 -5.74532e-05 9.24316e-06 -1.87085e-05 4.65192e-05 -0.000187412 -0.000320821 2.17637e-05 8.85979e-05 -4.86664e-06 -1.60159e-07 -2.04769e-05 -5.28929e-05 -5.94782e-05 -1.2374e-05 -4.46519e-05 8.35956e-05 -3.79294e-12 3.03334e-05 0.00010001 2.53664e-05 -6.76023e-05 3.5258e-05 1.28803e-05 -0.000268176 1.31097e-12 0.00143605 0.000573418 -1.29034e-09 -1.62271e-10 0.000652771 0.00565971 -0.000346833 -9.1635e-10 1.36153e-05 2.77018e-11 0.000177177 -0.00480548 7.40024e-09 7.5827e-10 -1.23192e-09 
0.000158401 0.000623034 1.4589e-05 0.000118435 0.000149935 -3.95132e-07 -4.71113e-06 -0.000291643 5.5225e-05 -9.46136e-05 -0.000187166 -0.000138989 -0.000369973 -0.000167438 -5.92709e-05 -7.57304e-05 -5.36029e-06 -5.1099e-05 -1.68512e-05 -2.00463e-05 6.32039e-06 5.42211e-06 5.47955e-05 9.3284e-06 3.73679e-06 3.61751e-05 1.31683e-05 2.25216e-05 3.58423e-05 1.78083e-05 1.66622e-05 2.25486e-05 2.36795e-05 3.82043e-15 4.00811e-05 1.00647e-05 2.78939e-05 4.62534e-05 6.99251e-05 4.222e-05 8.40445e-05 5.80303e-05 3.92062e-05 0.000106687 2.69594e-06 0.000147046 -9.37171e-06 -2.36273e-05 0.000146383 -0.000183766 -0.000311308 -4.03311e-05 -0.000178764 -0.00014628 9.82545e-05 -0.00011418 -0.000115508 1.55334e-05 -0.000130343 -1.26751e-06 -3.03404e-05 -0.000133102 -4.41921e-05 1.00118e-05 7.92397e-06 0.000102688 0.000321095 9.45687e-05 0.000289834 6.6095e-05 5.9683e-05 7.87834e-05 4.17284e-05 7.79019e-16 4.61624e-05 1.24743e-05 7.61002e-05 5.98067e-05 6.51378e-05 8.78846e-05 8.4386e-05 6.13786e-05 6.65804e-05 -3.16061e-05 1.35587e-05 -1.30124e-05 4.42635e-05 -9.73251e-05 0.000144237 0.000514493 -3.01791e-05 -1.4035e-06 -0.00023427 0.000758369 -2.45959e-05 3.76602e-06 -0.000112454 -8.45492e-05 1.3072e-05 -0.000144187 -5.99448e-05 3.4428e-05 -0.000279149 8.79365e-08 -3.56272e-07 -1.8666e-05 -5.66972e-05 -7.81238e-05 -9.8223e-05 -5.74619e-05 -3.1491e-05 -3.218e-05 3.57395e-05 -2.8067e-05 2.46663e-05 -4.8068e-05 -0.000176189 9.0679e-06 6.66462e-05 -2.13647e-05 -6.67174e-08 -7.50264e-06 -2.72783e-05 -1.82382e-05 6.55406e-06 -2.50644e-05 6.07286e-05 -3.79783e-13 4.01176e-05 3.86613e-05 1.30183e-05 -3.76682e-05 1.70938e-05 1.35967e-05 -0.000166367 3.9819e-13 0.000698515 0.000332445 -2.70901e-09 -2.07004e-10 0.000363586 0.00248552 -3.09619e-05 -7.57367e-10 2.42622e-05 1.50861e-11 0.000187287 -0.00591944 1.49674e-08 6.76098e-10 -2.59203e-09 
